date,event_name,category,description,impact_level
1990-08-02,Gulf War Invasion,Conflict,Iraq invades Kuwait,High
1991-01-17,Desert Storm,Conflict,US-led coalition attacks Iraq,High
1997-07-02,Asian Financial Crisis,Economic,Thai baht collapse triggers regional crisis,Medium
2001-09-11,9/11 Attacks,Conflict,Terror attacks on US,High
2002-12-02,Venezuelan Strike,Political,PDVSA worker strike disrupts oil exports,Medium
2003-03-20,Iraq War,Conflict,US invasion of Iraq,High
2005-08-29,Hurricane Katrina,Natural Disaster,Major hurricane in US Gulf,Medium
2008-09-15,Global Financial Crisis,Economic,Lehman Brothers collapse,High
2010-12-17,Arab Spring,Political,Tunisia protests begin,Medium
2011-02-15,Libyan Civil War,Conflict,Libyan revolution begins,High
2014-06-01,Iraq Insurgency,Conflict,ISIS advances in Iraq,Medium
2014-11-27,OPEC Meeting,Market,OPEC decides to maintain production levels,High
2015-07-14,Iran Nuclear Deal,Political,JCPOA agreement signed,Medium
2016-11-30,OPEC Production Cut,Market,OPEC+ agrees to production cuts,High
2020-01-03,Soleimani Killing,Conflict,US kills Iranian General Soleimani,Medium
2020-03-11,COVID-19 Pandemic,Global Crisis,WHO declares COVID-19 pandemic,High
2020-04-20,Negative Oil Prices,Market,WTI crude oil futures turn negative,High
2021-01-05,OPEC+ Supply Cuts,Market,Extended production cuts agreed,Medium
2022-02-24,Russia-Ukraine War,Conflict,Russia invades Ukraine,High
